Issue ID	Type	Area	Title	Assigned To	Priority	Status	Milestone
833	Todo	Skyline	Show rdotp in Peak Areas > Replicate Comparison plot when Normalize To > Heavy is chosen	guest	3	closed	21.2
832	Defect	Skyline	Improve ZedGraph handing of clipboard exceptions	guest	3	closed	21.2
831	Defect	Skyline	Change or add an option for MS/MS spectrum graph dotp value in mirror plot with Prosit	guest	2	closed	24.2
830	Todo	Skyline	"Add a ""High resolution"" check box to Transition Settings - Library - Ion match tolerance"	guest	2	closed	22.1
829	Todo	Skyline	Change reports to report 1-based AA positions	guest	3	closed	21.2
828	Todo	Skyline	Make it possible to see RT with more precision in chromatogram graphs	Brian Pratt	3	closed	22.1
827	Defect	BiblioSpec	X! Tandem point mutations not understood by BlibBuild	guest	2	closed	23.1
826	Defect	Skyline	Choosing an existing standard during Assay Library import fails to add library spectrum to BLIB	guest	3	closed	21.2
825	Todo	Skyline	SDRF Reports	guest	3	closed	23.1
824	Todo	Skyline	Implement command-line option --import-peak-boundaries	guest	3	closed	22.1
823	Todo	Skyline	Make it easier to export FASTA file of the proteins in the targets window	guest	3	closed	
822	Defect	Skyline	Show Prosit spectrum always when Mirror is on	guest	3	closed	22.1
821	Todo	Skyline	Expand multiple selection handling in chromatogram graphs to handle precursors	guest	3	closed	
820	Defect	Skyline	Ion Mobility Library editor should offer to wipe CCS value when IM value is altered	guest	3	closed	
819	Todo	Skyline	Implement new option to synchronize integration	guest	2	closed	21.2
818	Todo	Skyline	BlibBuild needs to write more information to .blib files	guest	2	closed	
817	Todo	Skyline	Small molecule support for Import > Transition > List column picker	guest	1	closed	21.2
816	Todo	Skyline	File>Share should offer to include a selection of raw files	guest	3	closed	
815	Todo	Skyline	Settings UI should offer choices when a change is made that would break consistency	guest	3	closed	22.1
814	Todo	Skyline	Need a way to more easily run all tests that produce audit logs	guest	3	closed	21.2
813	Defect	Skyline	"tidy up user-facing notation for mass-only fragments, and adjust sense of ""[M-]"", ""[M+2]"" etc to means ""inherently charged, m/z to mass conversion is simple multiplication, no particles lost/gained"""	guest	3	closed	
812	Todo	Skyline	Calculate and store peak skewness/asymmetry value	guest	2	closed	23.1
811	Defect	Skyline	"deal with the TODO from commit ""When adding small molecule library values to a document, just ignore any fragment peaks with absurdly small or large m/z values"""	guest	3	closed	
810	Defect	Skyline	"Manage Reports - Copy button still has ""Open View Editor"" menu item"	guest	3	closed	21.2
809	Todo	Skyline	Implement better searching in Library Explorer for small molecules	guest	3	closed	
808	Todo	Skyline	Change Targeted to PRM and add a SureQuant option to Acquisition method list	guest	3	closed	21.2
807	Defect	Skyline	Fix/Improve File > Export > Spectral Library	guest	3	closed	21.2
806	Defect	Skyline	"""Column1"", ""Column2"" etc generated headers in the column picker should be localized."	guest	3	closed	
805	Defect	Skyline	Stopping SkylineTester does not abort the second run of SkylineNightly	guest	3	closed	
804	Todo	Skyline	Implement simple filtering for MSP file import	guest	3	closed	
803	Todo	Skyline	Retain previous iRT values in iRT databases	guest	2	closed	22.1
802	Todo	Skyline	"Add ""Synchronize Integration"" option"	guest	3	closed	21.2
801	Defect	Skyline	BiblioSpec MaxQuant reader should look for all necessary raw data files and issue a block error about any that are missing	guest	3	closed	21.2
800	Defect	Skyline	BiblioSpec MaxQuant reader should look in parent folders for raw data files	guest	3	closed	21.2
799	Todo	Skyline	Improve Library Match behavior when precursor not selected	guest	3	closed	22.1
798	Todo	Skyline	When missing chromatograms but we have a RT prediction, we should graph that	guest	3	closed	22.2
797	Todo	Skyline	Transitions Split Graph confusing for multiple precursor charges	guest	3	closed	22.1
796	Defect	Skyline	Import Transition List column picker is too sticky	guest	3	closed	21.1
795	Defect	Skyline	Import Peptide Search library build with Automatic iRT leaves standard peptides hidden	guest	3	closed	21.1
794	Defect	Skyline	Unable to deselect (or remove) the Prosit library for library matching in Molecule UI	guest	3	closed	
793	Todo	Skyline	Create a way to limit the set of replicates immediately under analysis without removing replicates	guest	3	closed	
792	Defect	Skyline	trying to type an adduct description into the Modify... popup is maddening, cursor location keeps jumping back to start of line	guest	3	closed	
791	Defect	Skyline	Inconsistencies in Small Molecule UI mode make it difficult to reopen a closed Targets window	guest	3	closed	
790	Todo	Skyline	Edit > Insert > Peptides lacks the ability to add specific precursors	guest	3	closed	
789	Defect	Skyline	No longer able to reset settings in Tools > Options > Misc tab	guest	2	closed	21.1
788	Defect	Skyline	Need better handling for IO problems in library load	guest	3	closed	
787	Todo	Skyline	Custom graph background colors - or maybe just Dark Mode - for Skyline	guest	3	closed	
786	Defect	Skyline	"Ion mobility library ""use results"" algorithm improvements"	guest	3	closed	
785	Defect	Skyline	Transition Settings - Ion Mobility - Fixed width value not saved when it is all that changes	guest	2	closed	22.1
784	Defect	Skyline	Improvements to associating raw files with .sky.zip files (for support, Panorama, ???)	guest	3	closed	
783	Defect	Skyline	small molecule transition list reader should be more tolerant of missing values for InChIKey etc, and should explain properly when it rejects a mismatch	guest	3	closed	22.1
782	Defect	Skyline	allow small molecule precursors to support the full range of retention time matching options found in the isotope modification form	guest	3	closed	
781	Defect	Skyline	"allow user to select which files are used in ion mobility library ""Use Results"""	guest	3	closed	
780	Defect	Skyline	show m/z value in Ion Mobility Library editor window	guest	3	closed	
779	Defect	Skyline	"Adapt ion mobility library editor ""Use Results"" to work with FAIMS data"	guest	3	closed	
778	Defect	Skyline	Pasting into the Target window should be on a LongWaitDialog	guest	3	closed	
